S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,Class
58,0,0,0,0,2143,0,0,0,5,0,261,1,-1,0,0,no
44,1,1,1,0,29,0,0,0,5,0,151,1,-1,0,0,no
33,2,0,1,0,2,0,1,0,5,0,76,1,-1,0,0,no
47,3,0,2,0,1506,0,0,0,5,0,92,1,-1,0,0,no
33,4,1,2,0,1,1,0,0,5,0,198,1,-1,0,0,no
35,0,0,0,0,231,0,0,0,5,0,139,1,-1,0,0,no
28,0,1,0,0,447,0,1,0,5,0,217,1,-1,0,0,no
42,2,2,0,1,2,0,0,0,5,0,380,1,-1,0,0,no
58,5,0,3,0,121,0,0,0,5,0,50,1,-1,0,0,no
43,1,1,1,0,593,0,0,0,5,0,55,1,-1,0,0,no
41,6,2,1,0,270,0,0,0,5,0,222,1,-1,0,0,no
29,6,1,1,0,390,0,0,0,5,0,137,1,-1,0,0,no
53,1,0,1,0,6,0,0,0,5,0,517,1,-1,0,0,no
58,1,0,2,0,71,0,0,0,5,0,71,1,-1,0,0,no
57,7,0,1,0,162,0,0,0,5,0,174,1,-1,0,0,no
51,5,0,3,0,229,0,0,0,5,0,353,1,-1,0,0,no
45,6,1,2,0,13,0,0,0,5,0,98,1,-1,0,0,no
57,3,0,3,0,52,0,0,0,5,0,38,1,-1,0,0,no
60,5,0,3,0,60,0,0,0,5,0,219,1,-1,0,0,no
33,7,0,1,0,0,0,0,0,5,0,54,1,-1,0,0,no
28,3,0,1,0,723,0,1,0,5,0,262,1,-1,0,0,no
56,0,0,0,0,779,0,0,0,5,0,164,1,-1,0,0,no
32,3,1,3,0,23,0,1,0,5,0,160,1,-1,0,0,no
25,7,0,1,0,50,0,0,0,5,0,342,1,-1,0,0,no
40,5,0,3,0,0,0,1,0,5,0,181,1,-1,0,0,no
44,6,0,1,0,-372,0,0,0,5,0,172,1,-1,0,0,no
39,0,1,0,0,255,0,0,0,5,0,296,1,-1,0,0,no
52,2,0,1,0,113,0,1,0,5,0,127,1,-1,0,0,no
46,0,1,1,0,-246,0,0,0,5,0,255,2,-1,0,0,no
36,1,1,1,0,265,0,1,0,5,0,348,1,-1,0,0,no
57,1,0,1,0,839,1,1,0,5,0,225,1,-1,0,0,no
49,0,0,0,0,378,0,0,0,5,0,230,1,-1,0,0,no
60,6,0,1,0,39,0,1,0,5,0,208,1,-1,0,0,no
59,3,0,1,0,0,0,0,0,5,0,226,1,-1,0,0,no
51,0,0,0,0,10635,0,0,0,5,0,336,1,-1,0,0,no
57,1,2,1,0,63,0,0,0,5,0,242,1,-1,0,0,no
25,3,0,1,0,-7,0,0,0,5,0,365,1,-1,0,0,no
53,1,0,1,0,-3,1,0,0,5,0,1666,1,-1,0,0,no
36,6,2,1,0,506,0,0,0,5,0,577,1,-1,0,0,no
37,6,1,1,0,0,0,0,0,5,0,137,1,-1,0,0,no
44,7,2,1,0,2586,0,0,0,5,0,160,1,-1,0,0,no
50,0,0,1,0,49,0,0,0,5,0,180,2,-1,0,0,no
60,3,0,2,0,104,0,0,0,5,0,22,1,-1,0,0,no
54,5,0,1,0,529,0,0,0,5,0,1492,1,-1,0,0,no
58,5,0,2,0,96,0,0,0,5,0,616,1,-1,0,0,no
36,6,1,3,0,-171,0,0,0,5,0,242,1,-1,0,0,no
58,8,0,0,0,-364,0,0,0,5,0,355,1,-1,0,0,no
44,1,0,1,0,0,0,0,0,5,0,225,2,-1,0,0,no
55,1,2,1,0,0,1,0,0,5,0,160,1,-1,0,0,no
29,0,1,0,0,0,0,0,0,5,0,363,1,-1,0,0,no
54,3,0,1,0,1291,0,0,0,5,0,266,1,-1,0,0,no
48,0,2,0,0,-244,0,0,0,5,0,253,1,-1,0,0,no
32,0,0,0,0,0,0,0,0,5,0,179,1,-1,0,0,no
42,6,1,1,0,-76,0,0,0,5,0,787,1,-1,0,0,no
24,1,1,1,0,-103,0,1,0,5,0,145,1,-1,0,0,no
38,2,1,0,0,243,1,1,0,5,0,174,1,-1,0,0,no
38,0,1,0,0,424,0,0,0,5,0,104,1,-1,0,0,no
47,3,0,2,0,306,0,0,0,5,0,13,1,-1,0,0,no
40,3,1,2,0,24,0,0,0,5,0,185,1,-1,0,0,no
46,7,0,3,0,179,0,0,0,5,0,1778,1,-1,0,0,no
32,6,0,0,0,0,0,0,0,5,0,138,1,-1,0,0,no
53,1,2,1,0,989,0,0,0,5,0,812,1,-1,0,0,no
57,3,0,3,0,249,0,0,0,5,0,164,1,-1,0,0,no
33,7,0,1,0,790,0,0,0,5,0,391,1,-1,0,0,no
49,3,0,2,0,154,0,0,0,5,0,357,1,-1,0,0,no
51,0,0,0,0,6530,0,0,0,5,0,91,1,-1,0,0,no
60,5,0,0,0,100,1,0,0,5,0,528,1,-1,0,0,no
59,0,2,0,0,59,0,0,0,5,0,273,1,-1,0,0,no
55,1,0,1,0,1205,0,0,0,5,0,158,2,-1,0,0,no
35,3,1,1,0,12223,0,1,0,5,0,177,1,-1,0,0,no
57,3,0,1,0,5935,0,1,0,5,0,258,1,-1,0,0,no
31,7,0,1,0,25,0,1,0,5,0,172,1,-1,0,0,no
54,0,0,1,0,282,0,1,0,5,0,154,1,-1,0,0,no
55,3,0,3,0,23,0,0,0,5,0,291,1,-1,0,0,no
43,1,0,1,0,1937,0,0,0,5,0,181,1,-1,0,0,no
53,1,0,1,0,384,0,0,0,5,0,176,1,-1,0,0,no
44,3,0,1,0,582,1,1,0,5,0,211,1,-1,0,0,no
55,7,2,1,0,91,1,0,0,5,0,349,1,-1,0,0,no
49,7,2,1,0,0,0,1,0,5,0,272,1,-1,0,0,no
55,7,2,1,1,1,0,0,0,5,0,208,1,-1,0,0,no
45,6,1,1,0,206,0,0,0,5,0,193,1,-1,0,0,no
47,7,2,1,0,164,1,0,0,5,0,212,1,-1,0,0,no
42,1,1,1,0,690,0,0,0,5,0,20,1,-1,0,0,no
59,6,0,1,0,2343,0,0,0,5,0,1042,1,-1,0,0,no
46,8,0,0,0,137,0,1,0,5,0,246,1,-1,0,0,no
51,3,0,3,0,173,0,0,0,5,0,529,2,-1,0,0,no
56,6,0,1,0,45,1,0,0,5,0,1467,1,-1,0,0,no
41,1,0,1,0,1270,0,0,0,5,0,1389,1,-1,0,0,no
46,0,2,1,0,16,0,1,0,5,0,188,2,-1,0,0,no
57,5,0,1,0,486,0,0,0,5,0,180,2,-1,0,0,no
42,0,1,1,0,50,1,0,0,5,0,48,1,-1,0,0,no
30,1,0,1,0,152,0,1,0,5,0,213,2,-1,0,0,no
60,6,0,1,0,290,0,0,0,5,0,583,1,-1,0,0,no
60,3,0,2,0,54,0,0,0,5,0,221,1,-1,0,0,no
57,2,2,1,0,-37,1,0,0,5,0,173,1,-1,0,0,no
36,0,0,0,0,101,0,1,0,5,0,426,1,-1,0,0,no
55,3,0,1,0,383,1,0,0,5,0,287,1,-1,0,0,no
60,5,0,0,0,81,0,0,0,5,0,101,1,-1,0,0,no
39,1,0,1,0,0,0,0,0,5,0,203,1,-1,0,0,no
46,0,0,0,0,229,0,0,0,5,0,197,1,-1,0,0,no
44,3,0,1,0,-674,0,0,0,5,0,257,1,-1,0,0,no
53,3,0,3,0,90,1,0,0,5,0,124,1,-1,0,0,no
52,3,0,3,0,128,0,0,0,5,0,229,1,-1,0,0,no
59,3,0,3,0,179,0,0,0,5,0,55,3,-1,0,0,no
27,1,1,0,0,0,0,0,0,5,0,400,1,-1,0,0,no
44,3,0,1,0,54,0,0,0,5,0,197,1,-1,0,0,no
47,1,0,0,0,151,0,0,0,5,0,190,1,-1,0,0,no
34,6,0,1,0,61,1,1,0,5,0,21,1,-1,0,0,no
59,5,1,1,0,30,0,0,0,5,0,514,1,-1,0,0,no
45,0,0,0,0,523,0,0,0,5,0,849,2,-1,0,0,no
29,7,2,1,0,31,0,0,0,5,0,194,1,-1,0,0,no
46,1,2,1,0,79,1,0,0,5,0,144,1,-1,0,0,no
56,8,0,3,0,-34,0,1,0,5,0,212,2,-1,0,0,no
36,3,0,3,0,448,0,0,0,5,0,286,1,-1,0,0,no
59,5,2,3,0,81,0,0,0,5,0,107,1,-1,0,0,no
44,3,0,1,0,144,0,0,0,5,0,247,2,-1,0,0,no
41,6,0,1,0,351,0,0,0,5,0,518,1,-1,0,0,no
